"","Trait","UT_coverage","TNFa_coverage"
"1",30600,78.5021028793271,81.2809315866084
"2",30610,78.5021028793271,81.2809315866084
"3",30620,78.5021028793271,81.2809315866084
"4",30630,78.5021028793271,81.2809315866084
"5",30640,78.5021028793271,81.2809315866084
"6",30650,78.5021028793271,81.2809315866084
"7",30670,78.5021028793271,81.2809315866084
"8",30680,78.5021028793271,81.2809315866084
"9",30690,78.5021028793271,81.2809315866084
"10",30700,78.5021028793271,81.2809315866084
"11",30710,78.5021028793271,81.2809315866084
"12",30720,78.5021028793271,81.2809315866084
"13",30730,78.5021028793271,81.2809315866084
"14",30750,78.5021028793271,81.2809315866084
"15",30760,78.5021028793271,81.2809315866084
"16",30770,78.5021028793271,81.2809315866084
"17",30810,78.5021028793271,81.2809315866084
"18",30830,78.5021028793271,81.2809315866084
"19",30840,78.5021028793271,81.2809315866084
"20",30860,78.5021028793271,81.2809315866084
"21",30870,78.5021028793271,81.2809315866084
"22",30880,78.5021028793271,81.2809315866084
"23",30740,78.5021028793271,81.2809315866084
"24",30780,78.5021028793271,81.2809315866084
